index	likes	title	cover_url
11	41	值得收藏的100个投行级财务表达框架模板	https://sns-webpic-qc.xhscdn.com/202603251603/27ff201c09e6be3124c619061be545a7/spectrum/1040g34o31tubnph00s605pchiumohfl2kdaqq9o!nc_n_nwebp_prv_1
12	16	推荐大家收藏的100个战略咨询商业模型模板	https://sns-webpic-qc.xhscdn.com/202603251603/121057141f5b537edd0dbcc024951046/spectrum/1040g34o31thdd80m5e605pchiumohfl2mg9sqng!nc_n_nwebp_prv_1
13	30	如何像麦肯锡McKinsey一样制作企业战略PPT?	https://sns-webpic-qc.xhscdn.com/202603251603/0b38132d49f065fc7ab1ebbe357bf865/spectrum/1040g0k031s3858gc5c005pchiumohfl29gir8ho!nc_n_nwebp_prv_1
14	31	麦肯锡常用的100个品牌战略分析商业模型	https://sns-webpic-qc.xhscdn.com/202603251603/f539a99035c30609b618bfd6370e0d0f/spectrum/1040g0k031ru4najg22005pchiumohfl2tuuo788!nc_n_nwebp_prv_1
15	13	电商全年运营指标与计划执行复盘综合分析	https://sns-webpic-qc.xhscdn.com/202603251603/83e94f123a7f32282ad27b0a21dc5ad0/spectrum/1040g0k031rq9791vi4005pchiumohfl2ifa9270!nc_n_nwebp_prv_1
16	34	如何像麦肯锡一样制作市场战略分析PPT架构	https://sns-webpic-qc.xhscdn.com/202603251603/0a9985b5de59b5777cb7d705183cca8d/spectrum/1040g0k031rim6va5i4005pchiumohfl2upgl7g0!nc_n_nwebp_prv_1
17	40	咨询公司常用的100个商业战略分析策略模型	https://sns-webpic-qc.xhscdn.com/202603251603/094265b7537747b6b765d6a4d7c48091/spectrum/1040g0k031rh9m2v91e005pchiumohfl2dji7gv8!nc_n_nwebp_prv_1
18	21	值得收藏的电商年终运营复盘总结数据分析	https://sns-webpic-qc.xhscdn.com/202603251603/d00e557adc5706c56fc72a8d8903cc84/spectrum/1040g34o31rbu0qo3mu605pchiumohfl2347dmn8!nc_n_nwebp_prv_1
19	42	麦肯锡在品牌战略分析中常用的战略结构解析	https://sns-webpic-qc.xhscdn.com/202603251603/5bba915816cca3f09c8674c3d75d78a3/spectrum/1040g34o31r9cmf4872605pchiumohfl2obi1q38!nc_n_nwebp_prv_1
20	33	推荐收藏的100个常用品牌市场战略模型模板	https://sns-webpic-qc.xhscdn.com/202603251603/3cb87997fe3970ea32867e6e4345fe7c/spectrum/1040g34o31r48q49f72605pchiumohfl2m8jt4kg!nc_n_nwebp_prv_1
21	33	互联网大厂运营总监常用的100个运营策略	https://sns-webpic-qc.xhscdn.com/202603251603/5d13ff06afd3e78409cbbb76bdd9811a/spectrum/1040g34o31r33r5r50m005pchiumohfl2q4ulhvo!nc_n_nwebp_prv_1
22	26	如何像麦肯锡McKinsey一样制作市场评估PPT?	https://sns-webpic-qc.xhscdn.com/202603251603/cb4c53c5178d400cd1c8622b966464bc/spectrum/1040g34o31r1efc6rn0605pchiumohfl27dvpij0!nc_n_nwebp_prv_1
23	12	电商年终复盘从流量到转化的结构化框架指南	https://sns-webpic-qc.xhscdn.com/202603251603/47250500200e5d33ac34a33b76068434/spectrum/1040g0k031qndafftgm105pchiumohfl2u3ha3eo!nc_n_nwebp_prv_1
24	27	如何理解与运用市场策略中最常用的STP框架	https://sns-webpic-qc.xhscdn.com/202603251603/bf62cb4d1584cc4d04f7888f89048c05/spectrum/1040g34o31qm8qnpin0605pchiumohfl2aegpdn8!nc_n_nwebp_prv_1
25	45	如何像McKinsey麦肯锡一样制作战略规划ppt?	https://sns-webpic-qc.xhscdn.com/202603251603/b1c3137f78f17202bacd8e8ba6c9e35b/spectrum/1040g34o31putdag0n6605pchiumohfl29ropnc0!nc_n_nwebp_prv_1
26	19	推荐收藏！运营岗如何写一份漂亮的年终总结	https://sns-webpic-qc.xhscdn.com/202603251603/79326fb2e91f5c083cbdd3940777a5d1/spectrum/1040g34o31ps5feiu40305pchiumohfl27u6h7b0!nc_n_nwebp_prv_1
27	68	如何把ppt做得像贝恩Bain&Company一样专业?	https://sns-webpic-qc.xhscdn.com/202603251603/dcff119fb3eca0c33d310da698d00820/spectrum/1040g0k031pn6beq9k0005pchiumohfl2j0a7bd0!nc_n_nwebp_prv_1
28	34	战略咨询中常用100个市场品牌战略分析模型	https://sns-webpic-qc.xhscdn.com/202603251603/b6149e96ac7bd23041cdd8a2a3037b1a/spectrum/1040g0k031pmtiifok00g5pchiumohfl2257s5s0!nc_n_nwebp_prv_1
29	19	如何把ppt做得像专业咨询顾问一样专业？	https://sns-webpic-qc.xhscdn.com/202603251603/c75d2b222ded908415ca2cb7140782e8/spectrum/1040g0k031pi8hrdeju005pchiumohfl2fkc5190!nc_n_nwebp_prv_1
30	12	值得收藏的100个互联网运营策略模型PPT模板	https://sns-webpic-qc.xhscdn.com/202603251603/28044f2fea8dda975dc6f9cfb3e0b76c/spectrum/1040g0k031pi0gtc0js005pchiumohfl2fdpjon8!nc_n_nwebp_prv_1
